Employer,Registration_Date,Client_Current_Age,Parent_on_Enrolment,Gender,Ethnic_Origin,Has_Disability,Disability_details,Religion,Sexuality,Highest_Level_of_Education,Claiming_Benefits,Benefits,WARD_NAME
Sense,04-04-2019,53,Blanks,Female,(C) Asian or Asian British - Indian,Yes,NULL,Muslim,Prefer not to say sexuality,ISCED Level 2 (Lower secondary education),Yes,"Employment support allowance (ESA), Disability living allowance (DLA)",Hillrise
Signhealth,04-04-2019,53,Blanks,Female,(C) Asian or Asian British - Indian,Yes,NULL,Muslim,Prefer not to say sexuality,ISCED Level 2 (Lower secondary education),Yes,"Employment support allowance (ESA), Disability living allowance (DLA)",Hillrise
No Outcome,27-05-2021,27,Blanks,Prefer not to say,(E) Other Ethnic Groups - Prefer not to say,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Hillrise
No Outcome,04-09-2019,30,Yes,Female,(B) Mixed - Any other Mixed background,No,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Hillrise
No Outcome,13-11-2020,46,Yes,Female,(E) Other Ethnic Groups - Any other background,No,NULL,Muslim,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Hillrise
No Outcome,11-03-2021,46,Blanks,Female,(E) Other Ethnic Groups - Any other background,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,30-06-2021,47,Blanks,Female,(A) White - British,Blanks,NULL,Muslim,Prefer not to say sexuality,Blanks,Blanks,NULL,Hillrise
No Outcome,05-03-2021,61,Blanks,Female,(C) Asian or Asian British - Any other Asian background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,18-05-2020,64,No,Female,(A) White - Any other White background,Yes,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 7 (Master's or equivalent level),No,Not in receipt of benefits,Hillrise
Berkeley Homes (North East London),03-09-2018,21,No,Male,(A) White - Any other White background,No,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Hillrise
No Outcome,18-05-2021,25,No,Male,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Hillrise
No Outcome,20-08-2020,31,Yes,Female,(D) Black or Black British - Caribbean,Yes,NULL,Christian,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Employment support allowance (ESA),Hillrise
No Outcome,24-08-2021,47,Blanks,Prefer not to say,(E) Other Ethnic Groups - Prefer not to say,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Hillrise
No Outcome,19-06-2020,28,No,Female,(D) Black or Black British - Nigerian,No,NULL,Christian,Heterosexual,ISCED Level 7 (Master's or equivalent level),Yes,Universal credit (UC),Hillrise
No Outcome,06-05-2021,28,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,11-02-2021,41,Yes,Female,(D) Black or Black British - Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Job seekers allowance (JSA),Hillrise
No Outcome,07-12-2020,57,Yes,Female,(D) Black or Black British - Ghanaian,Yes,NULL,Other religion,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Hillrise
Precious Homes,26-05-2019,32,Yes,Male,(B) Mixed - Any other Mixed background,Yes,NULL,Other religion,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Job seekers allowance (JSA),Hillrise
No Outcome,25-05-2018,43,No,Female,(D) Black or Black British - Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Other benefit,Hillrise
No Outcome,28-02-2021,43,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,24-01-2018,57,Yes,Female,(A) White - British,No,NULL,Prefer not to say religion,Heterosexual,ISCED Level 0 (Early childhood education),Blanks,"Job seekers allowance (JSA), Housing Benefit, Months on benefits",Hillrise
No Outcome,02-02-2021,38,Yes,Female,(E) Other Ethnic Groups - Arab,No,NULL,Muslim,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Hillrise
No Outcome,24-06-2021,60,Blanks,Male,(A) White - Any other White background,Blanks,NULL,Christian,Gay / lesbian,Blanks,Blanks,NULL,Hillrise
No Outcome,02-02-2021,32,Yes,Male,(E) Other Ethnic Groups - Any other background,No,NULL,Prefer not to say religion,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Hillrise
Mihomecare- Islington Branch,25-02-2021,53,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,15-06-2021,21,Blanks,Female,(D) Black or Black British - Somali,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,09-05-2019,32,Blanks,Male,(A) White - British,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,"Employment support allowance (ESA), Disability living allowance (DLA), Universal credit (UC)",Tollington
No Outcome,10-07-2021,47,Blanks,Female,(B) Mixed - White and Black Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Tollington
No Outcome,09-04-2021,59,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,Tollington
No Outcome,22-06-2020,38,Yes,Female,(B) Mixed - Any other Mixed background,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Tollington
Bank Partners,14-05-2021,38,Blanks,Female,(B) Mixed - Any other Mixed background,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Tollington
No Outcome,05-11-2018,47,No,Male,(A) White - Greek/ Greek Cypriot,No,NULL,Muslim,Other sexuality,ISCED Level 4 (Post secondary - tertiary and non-tertiary),No,Not in receipt of benefits,Tollington
No Outcome,25-02-2021,47,Blanks,Female,(C) Asian or Asian British - Pakistani,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Tollington
No Outcome,23-04-2021,27,Blanks,Female,(B) Mixed - White and Black Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Tollington
Camden & Islington Nhs Foundation Trust,08-04-2019,36,No,Female,(B) Mixed - Any other Mixed background,No,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Tollington
No Outcome,17-12-2020,19,Blanks,Female,(A) White - British,Blanks,NULL,Blanks,Blanks,Blanks,Blanks,NULL,Tollington
Lbi Job Brokerage,04-01-2018,26,Yes,Male,(A) White - British,Blanks,NULL,Christian,Blanks,Blanks,Blanks,"Job seekers allowance (JSA), Months on benefits",Tollington
No Outcome,14-03-2021,24,Blanks,Female,(E) Other Ethnic Group - Arab,Blanks,NULL,Muslim,Prefer not to say sexuality,Blanks,Blanks,NULL,Tollington
No Outcome,09-07-2021,54,Blanks,Female,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Tollington
No Outcome,07-03-2021,20,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Tollington
Aldi Archway,21-05-2018,46,No,Female,(D) Black or Black British - Other African,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Blanks,"Job seekers allowance (JSA), Months on benefits",Tollington
No Outcome,10-03-2021,34,Blanks,Male,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Tollington
No Outcome,10-06-2019,28,No,Male,(D) Black or Black British - Caribbean,Yes,NULL,Other religion,Heterosexual,ISCED Level 5 (Short cycle tertiary education),Yes,"Personal independence payment (PI), Employment support allowance (ESA)",Tollington
No Outcome,24-03-2021,34,Blanks,Male,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Tollington
No Outcome,17-03-2021,35,Blanks,Prefer not to say,(D) Black or Black British - Any other Black background,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Tollington
Lbi Job Brokerage,04-01-2018,33,Yes,Male,(A) White - Irish,Blanks,NULL,Christian,Blanks,ISCED Level 1 (Primary education),Blanks,"Job seekers allowance (JSA), Months on benefits",St George's
No Outcome,29-04-2021,38,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Gay / lesbian,Blanks,Blanks,NULL,St George's
No Outcome,03-06-2021,51,Blanks,Female,(D) Black or Black British - Nigerian,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,05-06-2021,51,Blanks,Female,(D) Black or Black British - Nigerian,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,28-01-2019,39,Yes,Female,(D) Black or Black British - Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Junction
No Outcome,05-05-2021,67,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Junction
No Outcome,24-03-2021,21,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Junction
No Outcome,23-05-2021,46,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Junction
No Outcome,14-05-2018,23,Blanks,Male,(A) White - Any other White background,No,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Job seekers allowance (JSA),Junction
No Outcome,04-08-2021,52,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Junction
Caterlink,14-03-2019,41,Yes,Female,(D) Black or Black British - Eritrean,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Junction
No Outcome,10-03-2021,61,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Junction
No Outcome,05-03-2021,23,Blanks,Female,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Junction
No Outcome,05-07-2021,48,Blanks,Female,(A) White - Irish,Blanks,NULL,Christian,Prefer not to say sexuality,Blanks,Blanks,NULL,St George's
No Outcome,05-05-2021,31,Blanks,Female,(B) Mixed - Any other Mixed background,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,05-04-2019,46,Yes,Female,(A) White - Any other White background,Yes,NULL,Prefer not to say religion,No response to sexuality,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,St George's
No Outcome,30-06-2021,46,Blanks,Female,(E) Other Ethnic Groups - Prefer not to say,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,St George's
No Outcome,17-08-2021,59,Blanks,Female,(E) Other Ethnic Group - Latin American,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Junction
Falck Ambulance Service,14-08-2020,58,Yes,Female,(D) Black or Black British - Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Junction
No Outcome,28-04-2021,48,Blanks,Female,(B) Mixed - White and Black Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Junction
No Outcome,18-03-2019,51,No,Female,(B) Mixed - Any other Mixed background,No,NULL,Prefer not to say religion,No response to sexuality,Blanks,No,Not in receipt of benefits,Junction
No Outcome,25-02-2021,51,Blanks,Female,(C) Asian or Asian British - Indian,Blanks,NULL,Hindu,Heterosexual,Blanks,Blanks,NULL,Junction
No Outcome,09-05-2021,43,Blanks,Male,(A) White - British,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Junction
No Outcome,11-12-2018,35,Yes,Female,(D) Black or Black British - Any other Black background,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Junction
No Outcome,30-01-2018,29,No,Female,(B) Mixed - White and Black Caribbean,Yes,NULL,Christian,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Blanks,Months on benefits,Junction
No Outcome,13-11-2019,49,Yes,Female,(D) Black or Black British - Nigerian,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Woodside
No Outcome,10-07-2019,49,Yes,Male,(D) Black or Black British - Caribbean,Yes,NULL,Christian,Heterosexual,ISCED Level 1 (Primary education),Yes,Personal independence payment (PI),Noel Park
No Outcome,13-06-2021,43,Blanks,Male,(D) Black or Black British - Other African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Noel Park
No Outcome,18-02-2021,23,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Seven Sisters
No Outcome,05-03-2021,22,Blanks,Prefer not to say,(E) Other Ethnic Groups - Prefer not to say,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Highbury West
No Outcome,13-07-2021,29,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,Harringay
No Outcome,15-06-2021,23,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Other sexuality,Blanks,Blanks,NULL,Highbury West
No Outcome,07-08-2019,43,No,Female,(A) White - Any other White background,No,NULL,Buddhist,Heterosexual,ISCED Level 7 (Master's or equivalent level),Yes,Universal credit (UC),Highbury West
No Outcome,27-03-2019,45,No,Female,(A) White - Any other White background,Yes,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 7 (Master's or equivalent level),Yes,Job seekers allowance (JSA),Highbury West
No Outcome,31-08-2021,1,Blanks,Female,(E) Other Ethnic Groups - Any other background,No,NULL,Blanks,No response to sexuality,ISCED Level 7 (Master's or equivalent level),No,NULL,Woodberry Down
No Outcome,28-07-2021,24,Blanks,Male,(D) Black or Black British - Other African,Yes,NULL,Blanks,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Woodberry Down
No Outcome,09-08-2021,47,Blanks,Male,(C) Asian or Asian British - Chinese,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Brownswood
No Outcome,24-02-2020,49,Yes,Male,(D) Black or Black British - Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Tollington
No Outcome,20-02-2018,121,Blanks,Not Known,Not Known,Blanks,NULL,Blanks,Blanks,Blanks,Blanks,NULL,Tollington
No Outcome,10-06-2019,45,Yes,Male,(A) White - British,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 1 (Primary education),Yes,"Personal independence payment (PI), Employment support allowance (ESA)",Tollington
No Outcome,21-08-2021,18,Blanks,Female,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Prefer not to say sexuality,Blanks,Blanks,NULL,Tollington
No Outcome,06-07-2020,42,Yes,Female,(D) Black or Black British - Other African,Yes,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Income support (IS),Tollington
No Outcome,10-03-2021,23,Blanks,Female,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Tollington
No Outcome,18-03-2019,28,Yes,Female,(A) White - British,Prefer not to say,NULL,Prefer not to say religion,No response to sexuality,Blanks,Blanks,Job seekers allowance (JSA),Tollington
No Outcome,04-08-2021,60,Blanks,Male,(B) Mixed - White and Asian,Blanks,NULL,Other religion,Heterosexual,Blanks,Blanks,NULL,Tollington
No Outcome,05-06-2020,19,No,Female,(D) Black or Black British - Somali,No,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Tollington
No Outcome,06-05-2021,33,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Stroud Green
No Outcome,15-04-2020,36,Yes,Female,(D) Black or Black British - Any other Black background,No,NULL,Blanks,Blanks,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Finsbury Park
No Outcome,01-05-2021,44,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,17-08-2021,24,Blanks,Male,(B) Mixed - Any other Mixed background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,24-03-2021,50,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,17-08-2021,24,No,Male,(E) Other Ethnic Groups - Latin American,No,NULL,Blanks,Blanks,ISCED Level 3 (Upper secondary education),Yes,"Carers allowance, Disability living allowance (DLA)",Finsbury Park
No Outcome,04-07-2021,34,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,02-09-2021,17,Blanks,Male,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,26-02-2021,19,Blanks,Male,(A) White - Turkish/ Turkish Cypriot,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,15-04-2021,28,Blanks,Female,(B) Mixed - White and Black Caribbean,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,06-04-2021,25,Blanks,Female,(A) White - British,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Finsbury Park
No Outcome,07-10-2020,27,No,Female,(C) Asian or Asian British - Any other Asian background,No,NULL,Hindu,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Tollington
Luton Council,06-12-2019,58,Yes,Female,(C) Asian or Asian British - Any other Asian background,No,NULL,Hindu,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Tollington
No Outcome,16-09-2020,32,Yes,Female,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,"Income support (IS), Months on benefits",Tollington
No Outcome,17-12-2018,61,No,Male,(A) White - British,Yes,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Job seekers allowance (JSA),Tollington
No Outcome,07-01-2019,49,No,Male,(A) White - Any other White background,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Employment support allowance (ESA),Highbury West
No Outcome,18-03-2021,19,Blanks,Male,(D) Black or Black British - Eritrean,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Highbury West
No Outcome,24-04-2021,30,Blanks,Female,(C) Asian or Asian British - Indian,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Highbury West
No Outcome,11-07-2021,37,Blanks,Female,(D) Black or Black British - Eritrean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,23-10-2018,29,No,Female,(A) White - British,No,NULL,Christian,No response to sexuality,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Highbury East
No Outcome,03-08-2021,59,Blanks,Female,(A) White - British,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,20-05-2019,30,No,Female,(C) Asian or Asian British - Indian,No,NULL,Muslim,Heterosexual,ISCED Level 5 (Short cycle tertiary education),Yes,"Universal credit (UC), Other benefit",Highbury East
No Outcome,21-01-2021,56,Yes,Male,(E) Other Ethnic Groups - Prefer not to say,Yes,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Highbury East
No Outcome,02-03-2021,56,Blanks,Male,(E) Other Ethnic Groups - Any other background,Blanks,NULL,Muslim,Prefer not to say sexuality,Blanks,Blanks,NULL,Highbury East
No Outcome,18-05-2021,28,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Highbury West
No Outcome,19-06-2021,42,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Highbury West
No Outcome,26-11-2020,64,Yes,Female,(D) Black or Black British - Caribbean,No,NULL,Christian,Heterosexual,Blanks,Yes,Universal credit (UC),Highbury West
Goodinge Group Practice,18-04-2021,65,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Highbury West
No Outcome,28-02-2021,64,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Prefer not to say sexuality,Blanks,Blanks,NULL,Highbury West
No Outcome,19-06-2021,39,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Highbury East
London Borough of Islington ,02-09-2019,34,No,Female,(A) White - Greek/ Greek Cypriot,No,NULL,No religion / atheist,Heterosexual,ISCED Level 5 (Short cycle tertiary education),No,Not in receipt of benefits,Highbury East
No Outcome,13-03-2021,49,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Gay / lesbian,Blanks,Blanks,NULL,Mildmay
No Outcome,20-06-2021,44,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Mildmay
Priscilla Wakefield House,10-02-2020,58,Yes,Female,(D) Black or Black British - Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Incapacity benefit (IB),Highbury East
No Outcome,25-10-2018,30,Yes,Female,(D) Black or Black British - Other African,No,NULL,Muslim,No response to sexuality,ISCED Level 4 (Post secondary - tertiary and non-tertiary),No,Not in receipt of benefits,Highbury East
Great Ormond Street Hospital,21-04-2021,30,Blanks,Female,(D) Black or Black British - Nigerian,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,21-08-2019,33,Yes,Female,(D) Black or Black British - Nigerian,Yes,NULL,Christian,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,"Personal independence payment (PI), Employment support allowance (ESA), Other benefit",Highbury East
No Outcome,16-01-2020,43,Yes,Female,(A) White - Any other White background,Yes,NULL,Buddhist,Heterosexual,ISCED Level 7 (Master's or equivalent level),Yes,Universal credit (UC),Highbury East
No Outcome,31-10-2018,30,Yes,Female,(A) White - British,No,NULL,Christian,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),No,Not in receipt of benefits,Mildmay
No Outcome,04-05-2021,24,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Mildmay
JBT,05-12-2018,23,No,Male,(A) White - Any other White background,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Mildmay
No Outcome,12-05-2021,56,Blanks,Male,(A) White - British,Blanks,NULL,Christian,Prefer not to say sexuality,Blanks,Blanks,NULL,Mildmay
No Outcome,13-08-2020,53,Yes,Female,(D) Black or Black British - Other African,No,NULL,Christian,Heterosexual,ISCED Level 5 (Short cycle tertiary education),Yes,Universal credit (UC),Mildmay
No Outcome,17-03-2021,56,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Mildmay
No Outcome,19-03-2020,33,No,Female,(B) Mixed - Any other Mixed background,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Mildmay
No Outcome,14-03-2021,37,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Mildmay
No Outcome,02-06-2021,54,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Highbury East
Lendlease,27-01-2020,22,No,Male,(A) White - British,Yes,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Highbury East
No Outcome,02-08-2021,22,Blanks,Male,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,11-02-2021,51,No,Male,(D) Black or Black British - Other African,No,NULL,Muslim,Heterosexual,ISCED Level 1 (Primary education),Yes,Universal credit (UC),Highbury East
No Outcome,11-09-2020,40,No,Male,(D) Black or Black British - Any other Black background,No,NULL,Prefer not to say religion,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Highbury East
No Outcome,11-06-2021,38,Blanks,Female,(D) Black or Black British - Eritrean,Blanks,NULL,Christian,Prefer not to say sexuality,Blanks,Blanks,NULL,Highbury East
John Lewis,29-07-2020,63,Yes,Male,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Highbury East
No Outcome,28-05-2021,48,Blanks,Male,(B) Mixed - White and Black Caribbean,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,13-08-2021,20,Blanks,Female,(B) Mixed - White and Asian,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Highbury East
Islington Council,08-03-2018,26,No,Male,(D) Black or Black British - Any other Black background,Blanks,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),Blanks,NULL,Highbury East
No Outcome,02-05-2018,58,Yes,Male,(D) Black or Black British - Other African,No,NULL,Christian,Heterosexual,ISCED Level 7 (Master's or equivalent level),Blanks,Not in receipt of benefits,Highbury East
No Outcome,10-03-2021,49,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,25-09-2018,38,Blanks,Female,(A) White - Any other White background,No,NULL,Christian,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Highgate
No Outcome,03-02-2020,48,Yes,Female,(D) Black or Black British - Other African,Yes,NULL,Christian,Heterosexual,ISCED Level 5 (Short cycle tertiary education),Yes,Universal credit (UC),Highgate
No Outcome,21-04-2021,40,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Highgate
No Outcome,09-08-2021,23,Blanks,Female,(A) White - British,Blanks,NULL,Muslim,Bisexual,Blanks,Blanks,NULL,Holloway
No Outcome,19-06-2021,31,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Rastafarian,Heterosexual,Blanks,Blanks,NULL,Holloway
No Outcome,18-03-2019,32,No,Female,(D) Black or Black British - Caribbean,No,NULL,Prefer not to say religion,No response to sexuality,Blanks,No,Not in receipt of benefits,Holloway
No Outcome,12-12-2019,25,No,Male,(A) White - Greek/ Greek Cypriot,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Blanks,Not in receipt of benefits,Holloway
No Outcome,17-02-2020,19,No,Male,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Holloway
No Outcome,10-03-2021,38,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,Holloway
